lrate,l2_reg,n_epochs,loss
"1e-05
","1e-05
","5
","0.15539999999999998
"
"0.500005
","0.500005
","1002
","0.14800000000000002
"
"1.0
","1.0
","2000
","0.13070000000000004
"
"0.8924489471193385
","1e-05
","1593
","0.17200000000000004
"
"1e-05
","0.9608459940548667
","1862
","0.1059
"
"1e-05
","0.9039590519801008
","5
","0.12490000000000001
"
"1e-05
","1.0
","983
","0.12060000000000004
"
"1e-05
","1.0
","1997
","0.17210000000000003
"
"1e-05
","0.9455363077650472
","1796
","0.11470000000000002
"
"1.0
","1.0
","1847
","0.1261
"
"0.09465573133545521
","1.0
","1926
","0.12150000000000005
"
"1e-05
","0.9682215068805485
","1946
","0.13649999999999995
"
"1.0
","1e-05
","2000
","0.14690000000000003
"
"1e-05
","1e-05
","1896
","0.11699999999999999
"
"1.0
","1.0
","5
","0.10770000000000002
"
"1e-05
","1.0
","433
","0.14359999999999995
"
"1.0
","1.0
","20
","0.11539999999999995
"
"1e-05
","1.0
","740
","0.12980000000000003
"
"1e-05
","1.0
","2000
","0.14859999999999995
"
"1.0
","1.0
","2000
","0.09509999999999996
"
"1.0
","1.0
","1975
","0.1492
"
"0.4518224748044559
","0.4520835981700941
","1879
","0.16169999999999995
"
"1e-05
","1e-05
","1981
","0.15849999999999997
"
"1.0
","0.6114751455145175
","5
","0.1673
"
"1e-05
","0.9973570862025573
","1807
","0.11539999999999995
"
"1e-05
","0.8014926649703334
","1881
","0.11970000000000003
"
"0.07911105797799818
","1.0
","5
","0.13290000000000002
"
"0.11542945869674523
","0.9745547805466126
","1850
","0.12119999999999997
"
"1e-05
","1e-05
","1707
","0.11560000000000004
"
"0.21102240071782474
","1.0
","1325
","0.1109
"
"0.00047251808965919446
","0.9963499892877279
","1386
","0.10619999999999996
"
"2.182055535293379e-05
","0.8473750798231059
","1553
","0.11509999999999998
"
"0.09012242082336079
","0.9423856288078797
","1270
","0.1543
"
"0.0025805165897336536
","0.9999898417953834
","1505
","0.1049
"
"0.12671630728441657
","0.9995291628589744
","1459
","0.10389999999999999
"
"0.4612015134977577
","0.9741232990521572
","5
","0.12660000000000005
"
"0.1635873886257896
","1.0
","1625
","0.11739999999999995
"
"1e-05
","0.9941884073438757
","58
","0.10809999999999997
"
"1.0
","0.8353813335188254
","1732
","0.13759999999999994
"
"0.5063624892952167
","0.9433524517573642
","1896
","0.1189
"
"0.7053810862132844
","0.9578173688124599
","1777
","0.17290000000000005
"
"1e-05
","0.9188979422720226
","1889
","0.1058
"
"0.12197826067553787
","0.8729428969198181
","1841
","0.12229999999999996
"
"1e-05
","0.9728370786682802
","113
","0.13880000000000003
"
"0.012951937814571062
","0.9903962394789866
","23
","0.11960000000000004
"
"0.3407053070141375
","0.9180326194836602
","1954
","0.121
"
"0.2650289461003358
","0.9442635030366324
","1885
","0.14059999999999995
"
"0.029571380711931185
","0.999900358394528
","1344
","0.1331
"
"0.16098650120241845
","1.0
","1446
","0.12139999999999995
"
