lrate,l2_reg,n_epochs,loss
0.4560631479898472,0.4560631479898472,66,[0.15714933]
0.2538006672040233,0.2538006672040233,1236,[0.14963409]
0.9318343042127991,0.9318343042127991,322,[0.14118159]
0.9733252567023518,0.9733252567023518,1838,[0.12760737]
0.7236565564284945,0.7236565564284945,1730,[0.15262641]
0.8046284146208074,0.8046284146208074,588,[0.14860802]
0.866265068089014,0.866265068089014,529,[0.14449677]
0.47261531831950954,0.47261531831950954,1865,[0.15438796]
0.05436282853266298,0.05436282853266298,1713,[0.13524109]
0.8080925068690562,0.8080925068690562,938,[0.14873676]
0.2350255994188763,0.2350255994188763,104,[0.15016546]
0.7238203774651598,0.7238203774651598,243,[0.1530615]
0.4721627071849873,0.4721627071849873,638,[0.15620761]
0.04151076504871347,0.04151076504871347,383,[0.13562898]
0.5051871304247688,0.5051871304247688,430,[0.1542894]
0.8852045368064654,0.8852045368064654,1485,[0.14281699]
0.3194674955109744,0.3194674955109744,953,[0.15125964]
0.2938876897918133,0.2938876897918133,1389,[0.14928974]
0.012902368386365395,0.012902368386365395,1491,[0.13194758]
0.3676130624827894,0.3676130624827894,804,[0.15445225]
0.41341980340723783,0.41341980340723783,1219,[0.1606242]
0.29062430059853933,0.29062430059853933,343,[0.15039239]
0.5421229756550247,0.5421229756550247,1833,[0.153082]
0.6046112715486477,0.6046112715486477,497,[0.15642707]
0.8333333925820614,0.8333333925820614,1852,[0.1424101]
0.42474041567508575,0.42474041567508575,1152,[0.16006306]
0.6453435943231794,0.6453435943231794,1476,[0.15689884]
0.3426607819884086,0.3426607819884086,746,[0.15721438]
0.9378983294805371,0.9378983294805371,695,[0.14119198]
0.7959928704419295,0.7959928704419295,982,[0.14873676]
0.3922736824645273,0.3922736824645273,1141,[0.15504458]
0.5088978329329849,0.5088978329329849,284,[0.15358962]
0.33103384154091026,0.33103384154091026,1820,[0.15474308]
0.9519138878506646,0.9519138878506646,518,[0.1418387]
0.13810980275557957,0.13810980275557957,1442,[0.14903027]
0.7422906052197042,0.7422906052197042,1995,[0.14881298]
0.8821577173800932,0.8821577173800932,672,[0.14269872]
0.5380998948993351,0.5380998948993351,1078,[0.15493091]
0.11972357379561503,0.11972357379561503,695,[0.14923183]
0.03376060843072321,0.03376060843072321,1667,[0.13182832]
0.765904509446126,0.765904509446126,737,[0.14768532]
0.15586507499743393,0.15586507499743393,606,[0.15150455]
0.49630565236459506,0.49630565236459506,11,[0.15672593]
0.29789202005654863,0.29789202005654863,1055,[0.14731593]
0.3985627743824522,0.3985627743824522,534,[0.15764351]
0.6076135337136748,0.6076135337136748,169,[0.15541415]
0.5161958272794044,0.5161958272794044,1478,[0.15548882]
0.9492588181705397,0.9492588181705397,195,[0.14097961]
0.8174310340260322,0.8174310340260322,641,[0.1481339]
0.5534276420826841,0.5534276420826841,1990,[0.15407422]
0.6088551645003224,0.6088551645003224,1149,[0.15747287]
0.6461894781121307,0.6461894781121307,931,[0.15592369]
0.6576266473446846,0.6576266473446846,1568,[0.15489895]
0.6619709799063975,0.6619709799063975,1560,[0.15761932]
0.10233528655567142,0.10233528655567142,946,[0.14506004]
0.07025937599971711,0.07025937599971711,683,[0.14491438]
0.045238446982628785,0.045238446982628785,889,[0.13719349]
0.4349410703346406,0.4349410703346406,466,[0.16034566]
0.8540263585505246,0.8540263585505246,1610,[0.14403015]
0.26571033821539847,0.26571033821539847,76,[0.14936332]
0.893729800815036,0.893729800815036,436,[0.14193505]
0.1691117259757397,0.1691117259757397,749,[0.150829]
0.767685537644546,0.767685537644546,1531,[0.14835198]
0.6927339966398237,0.6927339966398237,1056,[0.15388805]
0.5420448973525143,0.5420448973525143,587,[0.15493986]
0.23795842739407203,0.23795842739407203,598,[0.15033222]
0.3154872208697546,0.3154872208697546,1425,[0.14991031]
0.47226705413860065,0.47226705413860065,1452,[0.1566477]
0.703600287464849,0.703600287464849,1568,[0.15372072]
0.6496132016596539,0.6496132016596539,782,[0.154773]
0.842048474550362,0.842048474550362,491,[0.14499018]
0.58294904755503,0.58294904755503,549,[0.15638792]
0.509988303543144,0.509988303543144,350,[0.1542894]
0.3444929865445246,0.3444929865445246,976,[0.15760289]
0.7062886376521812,0.7062886376521812,1829,[0.15210067]
0.4728996335006814,0.4728996335006814,792,[0.15557908]
0.6424419970041828,0.6424419970041828,1084,[0.15635462]
0.2699282996958486,0.2699282996958486,893,[0.14894289]
0.05605425640527186,0.05605425640527186,1946,[0.13453963]
0.07646940059604118,0.07646940059604118,1010,[0.14502263]
0.8052421082154533,0.8052421082154533,168,[0.14774893]
0.10311558111405404,0.10311558111405404,238,[0.14558006]
0.9629224932552329,0.9629224932552329,907,[0.14080223]
0.8679100649091235,0.8679100649091235,390,[0.14459312]
0.7648625107361755,0.7648625107361755,982,[0.14862566]
0.7451240250056419,0.7451240250056419,601,[0.15023645]
0.8524358388672791,0.8524358388672791,183,[0.14403474]
0.7361509194932818,0.7361509194932818,1837,[0.14881298]
0.22654763948385706,0.22654763948385706,1114,[0.14881887]
0.5606561788859774,0.5606561788859774,25,[0.1557558]
0.48276131415502127,0.48276131415502127,1126,[0.1554301]
0.7327635160332348,0.7327635160332348,1842,[0.14881298]
0.07868331210819993,0.07868331210819993,1811,[0.14281081]
0.12104981851089286,0.12104981851089286,1286,[0.14998181]
0.3242676813100212,0.3242676813100212,947,[0.15760289]
0.36183060316556065,0.36183060316556065,1230,[0.15625267]
0.5679607770628792,0.5679607770628792,1767,[0.15459997]
0.518254752890985,0.518254752890985,1991,[0.153082]
0.49932604529128344,0.49932604529128344,96,[0.15250455]
