lrate,l2_reg,n_epochs,loss
0.020148827219582326,0.020148827219582326,1509,[0.13788721]
0.9567410289780663,0.9567410289780663,6,[0.16158503]
0.21510805302682184,0.21510805302682184,73,[0.1561243]
0.24048313380990682,0.24048313380990682,443,[0.15689689]
0.39225866677024146,0.39225866677024146,1028,[0.16270489]
0.5257254332359363,0.5257254332359363,1280,[0.15904929]
0.23010211086503687,0.23010211086503687,134,[0.14509748]
0.5118342904316451,0.5118342904316451,826,[0.15656629]
0.9161092248933309,0.9161092248933309,1762,[0.15809101]
0.013884450366313921,0.013884450366313921,500,[0.12561259]
0.13519728767815956,0.13519728767815956,1097,[0.14204183]
0.6384254297157905,0.6384254297157905,235,[0.16724661]
0.8521301511532051,0.8521301511532051,913,[0.14515883]
0.7885575207402953,0.7885575207402953,1067,[0.14454061]
0.9611700105101344,0.9611700105101344,1849,[0.14626776]
0.15088337844206912,0.15088337844206912,306,[0.12750305]
0.02957282440664713,0.02957282440664713,1857,[0.1270433]
0.20548452310026225,0.20548452310026225,1684,[0.15008242]
0.8317479226929315,0.8317479226929315,676,[0.15071958]
0.5238898617421822,0.5238898617421822,650,[0.15648045]
0.8091892780709545,0.8091892780709545,649,[0.14765601]
0.6374612958688707,0.6374612958688707,762,[0.15760082]
0.004452573230398919,0.004452573230398919,824,[0.13028052]
0.15508541887669317,0.15508541887669317,1194,[0.13894744]
0.0380085841439699,0.0380085841439699,777,[0.13243175]
0.35423621392211974,0.35423621392211974,1452,[0.15694645]
0.8289291294057679,0.8289291294057679,1217,[0.16649975]
0.6599894293347405,0.6599894293347405,1978,[0.13751633]
0.6492177064371082,0.6492177064371082,1929,[0.14107987]
0.0024221200493278264,0.0024221200493278264,1490,[0.12306405]
0.3219983775411042,0.3219983775411042,1987,[0.15465112]
0.06389120814316811,0.06389120814316811,1357,[0.14618486]
0.24910363751348766,0.24910363751348766,1900,[0.13758817]
0.2780891923561159,0.2780891923561159,1713,[0.14783132]
0.03245897219947237,0.03245897219947237,986,[0.1420833]
0.7068837507093417,0.7068837507093417,348,[0.15591042]
0.7495741185163687,0.7495741185163687,207,[0.15568146]
0.564524179168116,0.564524179168116,526,[0.15565965]
0.8288708492597177,0.8288708492597177,456,[0.15438472]
0.14489553618474954,0.14489553618474954,696,[0.14893508]
0.5721189383814318,0.5721189383814318,427,[0.16940719]
0.9015100150221895,0.9015100150221895,1779,[0.13661118]
0.585209188321315,0.585209188321315,1896,[0.15286675]
0.5062480636884114,0.5062480636884114,1221,[0.15660837]
0.3230409102420427,0.3230409102420427,1388,[0.16252512]
0.6218601625267667,0.6218601625267667,1146,[0.1392868]
0.5485165388637493,0.5485165388637493,1157,[0.16433877]
0.3188615086998803,0.3188615086998803,908,[0.16353573]
0.6853826034679662,0.6853826034679662,1899,[0.14154974]
0.4114617644414386,0.4114617644414386,1383,[0.1797212]
0.831421213017089,0.831421213017089,1284,[0.15380566]
0.5941051091686778,0.5941051091686778,1604,[0.15624121]
0.3282170284224474,0.3282170284224474,1372,[0.16489188]
0.2165850153365751,0.2165850153365751,1860,[0.15160598]
0.5812366324704982,0.5812366324704982,1771,[0.15149827]
0.8360602763327425,0.8360602763327425,1188,[0.15085769]
0.45173792292801807,0.45173792292801807,1447,[0.1520644]
0.4481221893236698,0.4481221893236698,1121,[0.14827448]
0.1357263792573615,0.1357263792573615,1725,[0.155211]
0.8202144047595639,0.8202144047595639,959,[0.13770534]
0.694408741740541,0.694408741740541,624,[0.14302076]
0.5195999665448336,0.5195999665448336,1048,[0.14799869]
0.467052275661963,0.467052275661963,1188,[0.1409123]
0.6863343491134902,0.6863343491134902,1606,[0.14870198]
0.3459645537838076,0.3459645537838076,1368,[0.15144053]
0.6082544528205233,0.6082544528205233,1512,[0.16903405]
0.4361018845733818,0.4361018845733818,735,[0.16000144]
0.6599122044061827,0.6599122044061827,1176,[0.14850374]
0.37850280274203496,0.37850280274203496,1348,[0.15531713]
0.33289286566967774,0.33289286566967774,1643,[0.16438411]
0.1467584491146785,0.1467584491146785,825,[0.1434609]
0.4802994059971855,0.4802994059971855,1642,[0.14116994]
0.08858506435914998,0.08858506435914998,1838,[0.13760209]
0.9690746350395997,0.9690746350395997,1525,[0.13943249]
0.013028342093193167,0.013028342093193167,1904,[0.12448289]
0.6135289972447401,0.6135289972447401,1045,[0.14380279]
0.31026934342758866,0.31026934342758866,692,[0.15641543]
0.7940915041716353,0.7940915041716353,665,[0.15617071]
0.577726898423586,0.577726898423586,1323,[0.17334442]
0.7339550579751005,0.7339550579751005,1120,[0.1620316]
0.917454879608002,0.917454879608002,1654,[0.1697414]
0.9056376967013604,0.9056376967013604,23,[0.14005473]
0.7399988012957521,0.7399988012957521,1544,[0.14440951]
0.09197999699904709,0.09197999699904709,327,[0.1484297]
0.11173525059891606,0.11173525059891606,1718,[0.1600664]
0.03499741258227053,0.03499741258227053,1224,[0.12619197]
0.29561462423514123,0.29561462423514123,1359,[0.16542204]
0.47295321247338046,0.47295321247338046,1496,[0.18235335]
0.0327950035539381,0.0327950035539381,275,[0.13841443]
